algo,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank
12,1,5,6,3,10,11,9,15,15,14,14,15,17,18,17,1,8,8,6,16,13,17,19,18,23,21,20,22,22,20,3,13,10,9,17,13,16,22,18,26,25,24,26,25,25,2,11,11,10,18,16,17,22,21,23,26,22,25,25,24
13,0,6,5,5,11,12,9,13,12,13,15,12,18,18,15,4,11,10,5,13,12,15,21,17,20,22,18,22,22,19,4,14,12,13,19,18,17,24,22,26,25,22,26,26,23,5,8,10,6,17,11,18,22,22,23,26,23,25,27,24
14,0,8,9,4,10,8,7,13,9,11,14,14,17,16,15,2,7,7,6,15,13,18,21,18,16,20,17,21,20,19,5,15,12,5,14,10,16,21,21,25,26,25,24,24,24,5,13,11,10,20,17,13,20,19,23,25,22,25,25,25
15,2,11,9,1,11,7,8,15,10,14,16,16,14,15,15,3,10,9,3,13,11,11,18,17,19,22,19,21,22,19,2,15,11,13,18,19,16,23,20,22,24,24,29,27,25,4,10,12,11,18,16,17,20,19,21,23,23,25,23,22
16,0,5,4,1,10,10,8,15,12,11,16,14,17,17,16,1,11,10,5,14,11,12,18,14,20,20,18,21,22,19,2,15,11,9,17,17,22,24,22,22,23,22,20,23,21,2,9,6,11,17,14,14,22,18,25,25,23,24,26,28
17,0,6,4,4,11,8,11,15,11,15,16,13,14,16,14,0,7,8,4,14,15,13,17,16,22,22,21,23,22,21,6,15,14,6,17,15,13,19,19,23,25,25,26,27,26,4,11,7,7,15,12,18,22,20,20,24,23,22,22,24
18,0,9,7,3,11,10,10,14,12,13,17,15,16,17,13,3,10,9,10,17,16,12,19,17,19,20,19,21,23,22,6,12,9,9,15,15,12,21,19,26,24,23,24,24,20,2,10,7,9,15,15,17,21,20,23,25,23,24,24,23
19,0,7,3,0,10,6,7,15,8,17,17,13,14,18,16,3,11,10,6,14,11,11,19,15,22,21,18,20,20,19,4,15,11,5,18,17,12,23,20,24,24,23,26,25,23,8,12,12,9,16,14,14,20,19,24,25,23,27,27,25
20,0,6,6,5,14,10,10,16,12,16,18,17,13,15,16,1,7,10,7,14,11,13,17,18,21,20,20,21,21,20,4,13,11,9,21,18,15,24,21,26,27,27,25,25,25,4,10,11,8,16,16,15,22,23,23,23,23,26,25,24
21,0,4,4,4,13,9,9,16,12,16,15,13,13,16,11,2,9,12,3,18,13,11,18,16,21,21,17,21,22,20,1,11,10,8,22,19,21,23,23,24,27,25,26,25,24,2,6,9,6,16,13,15,20,21,22,23,24,26,27,28
